# OpenSignals Text File Format. Version 1
# {"0C:43:14:24:7F:C7": {"position": 0, "device": "bitalino_rev", "device name": "0C:43:14:24:7F:C7", "device connection": "BTH0C:43:14:24:7F:C7", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-9-11", "time": "12:17:23.301", "channels": [2], "sensor": ["ECGBIT"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
8	0	0	0	0	527	
9	0	0	0	0	534	
10	0	0	0	0	542	
11	0	0	0	0	550	
12	0	0	0	0	558	
13	0	0	0	0	567	
14	0	0	0	0	577	
15	0	0	0	0	590	
0	0	0	0	0	603	
1	0	0	0	0	618	
2	0	0	0	0	635	
3	0	0	0	0	654	
4	0	0	0	0	675	
5	0	0	0	0	695	
6	0	0	0	0	716	
7	0	0	0	0	736	
8	0	0	0	0	758	
9	0	0	0	0	780	
10	0	0	0	0	803	
11	0	0	0	0	826	
12	0	0	0	0	847	
13	0	0	0	0	866	
14	0	0	0	0	878	
15	0	0	0	0	885	
0	0	0	0	0	886	
1	0	0	0	0	882	
2	0	0	0	0	874	
3	0	0	0	0	863	
4	0	0	0	0	843	
5	0	0	0	0	817	
6	0	0	0	0	787	
7	0	0	0	0	755	
8	0	0	0	0	716	
9	0	0	0	0	676	
10	0	0	0	0	637	
11	0	0	0	0	599	
12	0	0	0	0	559	
13	0	0	0	0	520	
14	0	0	0	0	481	
15	0	0	0	0	444	
0	0	0	0	0	413	
1	0	0	0	0	394	
2	0	0	0	0	380	
3	0	0	0	0	371	
4	0	0	0	0	372	
5	0	0	0	0	375	
6	0	0	0	0	379	
7	0	0	0	0	386	
8	0	0	0	0	394	
9	0	0	0	0	401	
10	0	0	0	0	407	
11	0	0	0	0	414	
12	0	0	0	0	419	
13	0	0	0	0	422	
14	0	0	0	0	425	
15	0	0	0	0	428	
0	0	0	0	0	432	
1	0	0	0	0	435	
2	0	0	0	0	439	
3	0	0	0	0	442	
4	0	0	0	0	443	
5	0	0	0	0	444	
6	0	0	0	0	445	
7	0	0	0	0	447	
8	0	0	0	0	449	
9	0	0	0	0	449	
10	0	0	0	0	448	
11	0	0	0	0	448	
12	0	0	0	0	447	
13	0	0	0	0	448	
14	0	0	0	0	448	
15	0	0	0	0	447	
0	0	0	0	0	446	
1	0	0	0	0	447	
2	0	0	0	0	447	
3	0	0	0	0	449	
4	0	0	0	0	451	
5	0	0	0	0	450	
6	0	0	0	0	453	
7	0	0	0	0	455	
8	0	0	0	0	455	
9	0	0	0	0	456	
10	0	0	0	0	456	
11	0	0	0	0	456	
12	0	0	0	0	456	
13	0	0	0	0	458	
14	0	0	0	0	460	
15	0	0	0	0	463	
0	0	0	0	0	467	
1	0	0	0	0	471	
2	0	0	0	0	469	
3	0	0	0	0	466	
4	0	0	0	0	466	
5	0	0	0	0	468	
6	0	0	0	0	469	
7	0	0	0	0	469	
